name,smiles,score
cmpd_1,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,-6.0
cmpd_2,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cccc2c1=O,-6.1
cmpd_3,Cc1cc(-n2c(C)cc(CCC(=O)O)c2C)c(C)n1CCC(=O)O,-5.7
cmpd_4,Cc1cc(-c2cc(C)n(CCC(=O)O)c2C)c(C)n1CCC(=O)O,-5.6
cmpd_5,CC(=O)C1=C(O)C(=O)N(CCC(=O)O)C1c1ccc(Cl)cc1,-5.3
cmpd_6,CC(=O)C1=C(O)C(=O)N(c2ccc(O)cc2)C1c1ccc(Cl)cc1,-5.9
cmpd_7,COc1ncccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,-5.9
cmpd_8,COc1ccncc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,-6.1
cmpd_9,CC(=O)C1=C(O)C(=O)N(c2ccccc2)C1c1ccc(Cl)cc1,-6.1
cmpd_10,CC(=O)C1=C(O)C(=O)N(c2ccc(F)cc2)C1c1ccc(Cl)cc1,-5.8
cmpd_11,COc1ccccc1CNC(=O)Cn1c(CCC(N)=O)nc2c(Cl)cccc2c1=O,-6.4
cmpd_12,O=C(O)CCc1ccccc1-c1ccccc1CCC(=O)O,-5.3
cmpd_13,O=C(O)CCc1cc2nccc(CCC(=O)O)c2s1,-5.3
cmpd_14,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)ccnc2c1=O,-6.3
cmpd_15,COc1cccnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,-5.6
cmpd_16,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cncc2c1=O,-6.1
cmpd_17,COc1cnccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,-6.1
cmpd_18,Cc1cc(-c2ccc(C#N)cc2)c(C)n1CCC(=O)O,-5.6
cmpd_19,COC1C(C(C)=O)=C(O)C(=O)N1c1ccc(Cl)c(Cl)c1,-5.6
cmpd_20,O=C(O)CCc1nc2c(Cl)cccc2c(=O)n1CCC(=O)O,-5.4
cmpd_21,COc1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1CCC(=O)O,-5.8
cmpd_22,COc1c(C)cc(Cl)cc1-c1c(C)cc(Cl)cc1CCC(=O)O,-6.0
cmpd_23,COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1CCC(=O)O,-5.4
cmpd_24,COc1cc(C)n(-c2cc(C)n(CCC(=O)O)c2C)c1C,-5.7
cmpd_25,COc1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1CCC(=O)O,-5.6
cmpd_26,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2)C1c1ccc(Cl)cc1,-5.6
cmpd_27,Cc1cc(-c2ccc(O)cc2)c(C)n1CCC(=O)O,-5.6
cmpd_28,COC1C(C(C)=O)=C(O)C(=O)N1c1ccc(Cl)cc1,-5.5
cmpd_29,N#Cc1ccc(-c2ccc(CCC(=O)O)cc2)cc1,-5.9
cmpd_30,O=C(O)CCc1ccccc1-c1ccccc1N1CCC(O)CC1,-5.7
cmpd_31,Cc1cc(-c2ccc(Cl)c(Cl)c2)c(C)n1CCC(=O)O,-5.6
cmpd_32,CC(=O)C1=C(O)C(=O)N(c2ccc(C#N)cc2)C1c1ccc(Cl)cc1,-6.1
cmpd_33,COC1C(C(C)=O)=C(O)C(=O)N1c1ccc(C#N)cc1,-5.2
cmpd_34,O=C(O)CCc1ccccc1-c1ccc(O)cc1,-5.6
cmpd_35,CC(=O)C1=C(O)C(=O)N(c2ccc(C#N)cc2)C1N1CCCC1,-5.4
cmpd_36,COC1C(C(C)=O)=C(O)C(=O)N1c1ccc(F)cc1,-5.5
cmpd_37,CC(=O)C1=C(O)C(=O)N([C@@H]2CCNC[C@@H]2C)C1c1ccc(Cl)cc1,-6.0
cmpd_38,Cc1cc(-c2ccc(Cl)cc2)c(C)n1CCC(=O)O,-5.5
cmpd_39,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)c(Cl)c2)C1N1CCCC1,-5.5
cmpd_40,Cc1cc(-c2ccc(F)cc2)c(C)n1CCC(=O)O,-5.8
cmpd_41,Cc1cc(-c2ccccc2)c(C)n1CCC(=O)O,-5.7
cmpd_42,O=C(O)CCc1ccccc1-c1ccccc1-c1ccc(O)cc1,-6.0
cmpd_43,COc1c(O)c(-c2ccc(O)cc2)c(C)c(C)c1-c1ccc(O)cc1,-6.5
cmpd_44,COC1C(C(C)=O)=C(O)C(=O)N1c1ccccc1,-5.4
cmpd_45,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2)C1N1CCCC1,-5.3
cmpd_46,COC1C(C(C)=O)=C(O)C(=O)N1c1ccc(O)cc1,-5.5
cmpd_47,Cc1cc(Cl)cc(CCC(=O)O)c1CCC(=O)O,-5.6
cmpd_48,N#Cc1ccc(-c2cn(CCC(=O)O)nn2)cc1,-5.3
cmpd_49,COc1ccc(-c2ccc(C#N)cc2)cc1,-5.5
cmpd_50,O=C(O)CCc1ccc(-c2ccc(F)cc2)cc1,-5.9
cmpd_51,COc1ccccc1-c1ccccc1OC,-4.9
cmpd_52,N#Cc1ccc(-c2ccc(C#N)cc2)cc1,-5.3
cmpd_53,Cc1cc(Cl)cc(N2CCC(O)CC2)c1-c1ccc(C#N)cc1,-5.6
cmpd_54,Cc1nc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,-6.3
cmpd_55,O=C(O)CCc1cc2nccc(-c3ccc(Cl)cc3)c2s1,-5.5
cmpd_56,C[C@H]1CNCC[C@H]1c1cn(-c2cn(-c3ccc(Cl)cc3)nn2)nn1,-6.5
cmpd_57,Cc1cc(Cl)cc(-c2ccc(C#N)cc2)c1N1CCC(O)CC1,-6.3
cmpd_58,C[C@H]1CNCC[C@H]1n1cc(-c2cn(-c3ccc(Cl)cc3)nn2)nn1,-6.4
