feature_set,model,mae,rmse,r2
atom_pair,enet_loose,0.8301157899518231,0.9923499864111782,0.25400277314069086
base_plus_atom_pair,enet_loose,0.8334348476528536,0.9963203476835991,0.24802140823690744
base_plus_rdk_fp,extra_trees,0.774280701754387,1.000049134289987,0.2423822286024666
base_plus_graph,extra_trees,0.8188666666666663,1.017877356724932,0.2151288178015257
rdk_fp,extra_trees,0.788984210526316,1.0251819798232829,0.20382340904709573
rdk_fp,pls_2,0.8840161865332675,1.0403405470196176,0.18010445323821256
base_descriptors,extra_trees,0.8464052631578958,1.0405263311370236,0.17981159303597238
atom_pair,enet_mid,0.8451826503633463,1.0433465977119891,0.1753594524461236
base_plus_atom_pair,enet_mid,0.8462797045555286,1.0451844676980793,0.17245166135389245
base_plus_rdk_fp,pls_2,0.8893263151861125,1.0482685065839674,0.16756074166140567
graph_descriptors,extra_trees,0.8391701754385966,1.054195503773109,0.15812076830561772
base_graph_similarity_morgan512,knn_3_dist,0.8895910675024912,1.0668656823104068,0.13776237931330548
rdk_fp,rf,0.8612649122807017,1.0705370017450413,0.13181787015329705
base_plus_morgan512,knn_3_dist,0.9256565450605019,1.0870377401691256,0.10484813349031519
graph_plus_morgan512,knn_3_dist,0.927165894373481,1.088261154930783,0.10283208890454454
atom_pair,extra_trees,0.9608491228070171,1.0895182238572048,0.10075822406196411
base_plus_rdk_fp,rf,0.8983157894736857,1.0906490281355867,0.09889062033588536
base_plus_atom_pair,extra_trees,0.9592175438596486,1.0933105635198501,0.09448725904922772
graph_descriptors,rf,0.9373701754385962,1.0990445128510813,0.08496429330370825
base_plus_similarity,extra_trees,0.949464912280703,1.1070615969645439,0.0715659742804583
base_plus_atom_pair,pls_2,0.9727141112963433,1.1090546320137247,0.06822005894655225
base_plus_spectral,knn_3_dist,0.9258135157952929,1.111426077254494,0.0642310263774617
atom_pair,pls_2,0.970680088702978,1.1147921496072348,0.05855429089714759
base_plus_atom_pair,knn_1,0.6578947368421053,1.1191726267296984,0.05114109947446199
morgan512,rf,0.9704666666666666,1.1249782153576304,0.04127135790469094
base_graph_similarity_morgan512,rf,0.9998052631578961,1.1275864686439823,0.03682059447402286
base_graph_spectral,extra_trees,0.943442105263157,1.1296031561094357,0.033372222385435024
rdk_fp,enet_loose,0.861052759921922,1.1330438884030525,0.027474624291768834
base_graph_spectral,rf,0.994605263157895,1.1356616359653562,0.022975651473271075
base_plus_graph,rf,0.9800701754385974,1.1403660998282215,0.014864263699127966
base_plus_rdk_fp,enet_loose,0.8795996557473188,1.1470199906692526,0.0033344411152628206
base_plus_morgan512,rf,1.0088385964912279,1.1474795980553276,0.002535559438169188
graph_descriptors,svr_rbf,0.9232314104487664,1.154146332934589,-0.009088435262394334
base_plus_spectral,rf,1.009008771929824,1.1561640858929894,-0.012619826265866552
base_graph_similarity_morgan512,extra_trees,0.9750263157894741,1.1563491732970603,-0.012944067745590981
