variant,feature_set,model,evaluation,mae,rmse,r2
raw_rows,atom_pair512,enet,loocv,0.6660877175829663,0.8774123315723676,0.3945119103670509
raw_rows,graph,extra,loocv,0.6690305555555625,0.9007027873214154,0.3619405424307781
raw_rows,graph,rf,loocv,0.7731215445665476,0.9266839897124675,0.32459937763077706
raw_rows,base_graph,extra,loocv,0.7014410256410323,0.9415801850841115,0.30271109022656617
raw_rows,rdk512,extra,loocv,0.6925993589743651,0.9654870807805207,0.26685298516231826
raw_rows,atom_pair512,extra,loocv,0.7810055555555613,0.9719670797092204,0.25697872633245444
raw_rows,morgan2_256,tanimoto_krr_a0.1,loocv,0.7832984044204092,0.9731210937349898,0.25521330440119383
dedup_rows,atom_pair512,enet,loocv,0.8301157899518231,0.9923499864111782,0.25400277314069086
raw_rows,morgan2_256,tanimoto_krr_a0.01,loocv,0.759214908278606,0.9836527204587595,0.23900512546116803
raw_rows,base_graph_spectral,extra,loocv,0.7691467948718016,0.9866358957150543,0.2343823079132954
raw_rows,base_graph,rf,loocv,0.8456737713675236,0.9876082239764719,0.2328725340628035
raw_rows,rdk512,rf,loocv,0.7939875824175852,0.9956187683860152,0.22037763954842338
raw_rows,base_graph_spectral,rf,loocv,0.8653686920024443,0.996636323860609,0.21878322525998284
raw_rows,base,extra,loocv,0.7747292735042794,0.9987746925497902,0.2154272937478342
dedup_rows,rdk512,extra,loocv,0.788984210526316,1.0251819798232829,0.20382340904709573
raw_rows,atom_pair512,ridge,loocv,0.8087042020486707,1.0114283514532552,0.19542157373148006
raw_rows,atom_pair512,rf,loocv,0.8922637103174623,1.01143888123425,0.1954048210297985
raw_rows,rdk512,svr_rbf,loocv,0.8672982227846634,1.0129233299594387,0.19304134305366583
raw_rows,graph_morgan2_512,rf,loocv,0.859606355311358,1.0132290716805108,0.1925541232285365
raw_rows,base,rf,loocv,0.8676036050061072,1.0132461787411637,0.1925268576425373
dedup_rows,graph,extra,loocv,0.8230122807017546,1.0328618325253967,0.1918500781955378
raw_rows,base_graph_morgan2_256_sim,rf,loocv,0.8822689758852289,1.021797560903755,0.1788398597461217
raw_rows,base_graph,svr_rbf,loocv,0.8694872300047085,1.0242563870510446,0.17488306939300424
raw_rows,rdk512,ridge,loocv,0.7551393203029432,1.0269185543543504,0.1705883362448063
raw_rows,base_graph_morgan2_512,rf,loocv,0.8831188263125791,1.0323654106455307,0.16176647359616592
raw_rows,base_graph_morgan2_512_sim,rf,loocv,0.8914885470085495,1.0323798302808702,0.16174305726301752
raw_rows,base_graph_morgan2_256,rf,loocv,0.8823048687423717,1.0339023108198095,0.15926883045010354
raw_rows,base_morgan2_512,rf,loocv,0.8851762820512848,1.0354931287065894,0.15667965136616657
raw_rows,graph_morgan2_256,rf,loocv,0.882909203296706,1.0359767053356017,0.15589180406141345
raw_rows,base_graph_spectral,svr_rbf,loocv,0.8881920579606049,1.037156332233059,0.15396840244730892
raw_rows,base_graph_morgan3_512_sim,rf,loocv,0.8961571810134336,1.0395306172978664,0.15009045400117238
raw_rows,morgan2_512,rf,loocv,0.8809152472527496,1.040395577111864,0.14867550107395955
raw_rows,graph_morgan3_512,rf,loocv,0.883400195360198,1.0419555674090983,0.14612060052281728
raw_rows,spectral,rf,loocv,0.9189118131868143,1.0439177576432817,0.1429015545654776
raw_rows,base_morgan2_256,rf,loocv,0.8952467979243008,1.045555364393623,0.1402103634168368
raw_rows,atom_pair512,svr_rbf,loocv,0.9169806048717615,1.0456614578012047,0.14003586736729134
dedup_rows,base_graph_morgan2_512_sim,knn3_dist_euclid,loocv,0.8893555479048452,1.066407637268983,0.13850260161353145
raw_rows,base_graph_morgan3_512,rf,loocv,0.8982694108669136,1.0469997567259088,0.13783319354184276
dedup_rows,rdk512,rf,loocv,0.8612649122807017,1.0705370017450413,0.13181787015329705
dedup_rows,base_graph,extra,loocv,0.8794929824561395,1.0707242809922795,0.1315140848242402
raw_rows,morgan2_256,rf,loocv,0.8874038827838853,1.0516045308712174,0.1302327834396848
raw_rows,base_graph_morgan2_512_sim,svr_rbf,loocv,0.9030160370404976,1.0516902043038863,0.1300910591008161
raw_rows,base_graph_morgan2_512,svr_rbf,loocv,0.9035678445653073,1.0520818283647442,0.12944307226854213
raw_rows,base_graph_morgan3_512_sim,ridge,loocv,0.7849879857689361,1.0531432127851938,0.12768567732437275
raw_rows,base_morgan2_512,svr_rbf,loocv,0.9037262086439336,1.0547432553859595,0.12503304597103948
raw_rows,base_graph_morgan2_256_sim,svr_rbf,loocv,0.9047687681818528,1.0556227038821095,0.12357333685419936
raw_rows,base_graph_morgan2_256,svr_rbf,loocv,0.9051370197283786,1.055812171987317,0.12325869829865466
raw_rows,maccs,svr_rbf,loocv,0.9059269546831784,1.0576903951555479,0.12013658894842627
raw_rows,morgan2_512,tanimoto_krr_a0.1,loocv,0.8170792043640093,1.0580629391680954,0.11951666165300467
raw_rows,base_morgan3_512,ridge,loocv,0.7989370800045601,1.0584717190052908,0.11883618537850249
raw_rows,graph_morgan2_512,svr_rbf,loocv,0.907489131215027,1.0591804993487337,0.1176556895976929
raw_rows,rdk512,enet,loocv,0.7425507375800516,1.0605451884688937,0.1153805317706168
raw_rows,base_morgan2_256,svr_rbf,loocv,0.9064886377026617,1.0609224650459075,0.11475103371297246
raw_rows,base_graph_morgan3_512,ridge,loocv,0.794911097574822,1.0612117366215712,0.1142682231724238
raw_rows,graph,svr_rbf,loocv,0.9120774000379714,1.062559523943509,0.11201695493909503
raw_rows,morgan2_512,svr_rbf,loocv,0.9078062896185237,1.0633723595829891,0.11065785867223421
dedup_rows,base_graph_morgan2_512,knn3_dist_euclid,loocv,0.9235390803413869,1.0837521950097235,0.11025110549281802
dedup_rows,base_morgan2_512,knn3_dist_euclid,loocv,0.9253325418904814,1.0864601460993109,0.10579915299640663
raw_rows,base_morgan3_512,rf,loocv,0.911853571428574,1.066598804696272,0.10525285314546262
dedup_rows,base_morgan3_512,enet,loocv,0.8948879880369848,1.087181601288479,0.1046111848249478
raw_rows,graph_morgan2_256,svr_rbf,loocv,0.911582937540601,1.0671815281035566,0.10427491742796802
