feature_set,model,mae,rmse,r2
base+graph,extra,0.7945289473684207,0.9792086229383616,0.27362993917724465
graph,extra,0.8117578947368411,1.0065904975395115,0.23243859463961558
base,extra,0.8211394736842115,1.0152419167889317,0.21918785897795756
rdk512,extra,0.7834184210526312,1.0225269152936756,0.20794202004174267
base+graph+spectral,extra,0.8922026315789469,1.0507172362999926,0.16366708353058834
graph,svr,0.879336213730776,1.0801643728716097,0.11613248080535532
base+morgan512,knn3d,0.9256565450605019,1.0870377401691256,0.10484813349031519
graph+spectral,knn3d,0.953040474071091,1.1166374575753675,0.055434973804115106
base+graph+spectral,svr,0.9298423840382346,1.117617409958494,0.05377636042970957
base+graph+spectral,knn3d,0.9000176911759662,1.1216859390841392,0.04687463248865498
graph+spectral,extra,0.9648052631578935,1.12343881851544,0.043893371474905796
base+spectral,extra,0.957734210526316,1.1291223772307222,0.03419487468953342
base+spectral,svr,0.9477475502834558,1.1334784123894897,0.02672855145454145
morgan512,extra,0.9464157894736843,1.1563868862925903,-0.013010140829611716
rdk512,svr,1.0201181027303168,1.1577605326841307,-0.015418234898481487
base+morgan512,svr,1.0384969470717391,1.163446136481257,-0.02541588375305004
base+graph,svr,0.9564179911934638,1.1678143147894857,-0.03313022117669817
graph+spectral,svr,0.9936176307444827,1.1726922347056978,-0.04177894449115893
morgan512,svr,1.0455198255544695,1.1748266179385507,-0.04557461902561255
base+morgan512,extra,0.9888184210526323,1.1801856239480653,-0.05513521333658189
graph,knn3d,0.8923458718548609,1.1807252027658919,-0.0561002458662625
base+maccs,extra,1.0231736842105261,1.1821845806098044,-0.058712541748821234
base+maccs,svr,1.0622741048390547,1.184793109422513,-0.06338986386203405
base+spectral,knn3d,0.9349413325380284,1.188370952181261,-0.06982201869083737
maccs,svr,1.0658090302238064,1.201953046974332,-0.09441612273429079
spectral,svr,1.02931279366722,1.2084573857354977,-0.1062929824691905
maccs,extra,1.037865789473684,1.2173773450050638,-0.12268496783798333
morgan512,knn3d,1.0127229710053856,1.2209345953272714,-0.12925566073763184
base+maccs,knn3d,1.0289594528181671,1.2224212436621662,-0.13200736936746016
rdk512,knn1,0.7484210526315789,1.2317809101160464,-0.14940852863681653
morgan512,knn1,0.7789473684210527,1.2414507642270796,-0.16752577535923519
maccs,knn3d,1.0441593410618226,1.259514315145906,-0.2017487875754993
spectral,knn3d,1.0158498254642778,1.2709587951100376,-0.223687203542845
base,svr,1.0802417525538672,1.2743804329371757,-0.23028482184298493
spectral,extra,1.1167999999999976,1.2906447341297442,-0.26188827334471254
base,knn1,0.751578947368421,1.3031540685259704,-0.286468051816803
base+graph,knn1,0.751578947368421,1.3031540685259704,-0.286468051816803
base+spectral,knn1,0.7931578947368422,1.3038828652589116,-0.2879073841378401
base,knn3d,0.9990983028184635,1.3052480607355064,-0.29060573357352704
rdk512,knn3d,0.9266920995999213,1.3281896772439814,-0.33637295508256426
graph+spectral,knn1,0.778421052631579,1.3649773470262194,-0.4114268171177091
base+graph,knn3d,1.0513967418453598,1.3659908825816405,-0.41352364659516216
base+morgan512,knn1,0.8905263157894737,1.3729031859147012,-0.4278655073106079
base+maccs,knn1,0.8968421052631579,1.3919429812883481,-0.467744182864664
base+graph+spectral,knn1,0.8284210526315791,1.402512782566761,-0.49011962049807356
maccs,knn1,0.9478947368421051,1.4251075675005618,-0.5385186649442526
spectral,knn1,0.9073684210526317,1.4408257866128094,-0.572643998284301
graph,knn1,0.9626315789473684,1.5204794950070328,-0.7513325208104076
