method,parent_id,parent_smiles,product_smiles,transform
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=S)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=S)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide
bioisosteric_swaps,145963683,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,C=CC(=S)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,amide_to_thioamide
bioisosteric_swaps,CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,CC(=O)C1=C(O)C(=S)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,amide_to_thioamide
bioisosteric_swaps,CHEMBL1923233,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,CCC[C@H](NC(=S)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,amide_to_thioamide
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(N)=O)nc2c(Cl)cccc2c1=O,acid_to_amide
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(O)=S)nc2c(Cl)cccc2c1=O,acid_to_thioacid
bioisosteric_swaps,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=S)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,amide_to_thioamide
bioisosteric_swaps,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=S)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,amide_to_thioamide
bioisosteric_swaps,70691637,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=S)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,amide_to_thioamide
bioisosteric_swaps,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=S)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,amide_to_thioamide
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,NC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,acid_to_amide
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(O)=S)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,acid_to_thioacid
bioisosteric_swaps,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=S)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,amide_to_thioamide
bioisosteric_swaps,CHEMBL5267683,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,S=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,amide_to_thioamide
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cc5nccc(-c6cccc(Br)n6)c5s4)c3s2)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cc5nccc(-c6ccnc7cc(-c8cccc(Br)n8)sc67)c5s4)c3s2)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4cccc(Br)n4)c3s2)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4ccnc5cc(-c6cc7nccc(-c8cccc(Br)n8)c7s6)sc45)c3s2)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2cc3nccc(-c4ccnc5cc(-c6cccc(Br)n6)sc45)c3s2)n1,core_plus_one_side_fragment
fragment_growing,[12*]S(=O)(=O)c1ccc([14*])nc1,[12*]S(=O)(=O)c1ccc([14*])nc1,Brc1cccc(-c2cccc(Br)n2)n1,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],Brc1cccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2cccc(Br)n2)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2ccnc3cc(-c4cc5nccc(-c6cc7nccc(-c8cccc(Br)n8)c7s6)c5s4)sc23)n1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,Brc1cccc(-c2ccnc3cc(-c4cc5nccc(-c6cccc(Br)n6)c5s4)sc23)n1,core_plus_one_side_fragment
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(C3CCN(C4CCN(c5cccc(Br)n5)CC4)CC3)CC2)n1,core_plus_one_side_fragment
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(C3CCN(c4cccc(Br)n4)CC3)CC2)n1,core_plus_one_side_fragment
fragment_growing,[5*]N1CCC([15*])CC1,[5*]N1CCC([15*])CC1,Brc1cccc(C2CCN(c3cccc(Br)n3)CC2)n1,core_plus_one_side_fragment
fragment_growing,[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],CC1(C)C2C(=O)N(c3c(O)c(O)c(N4C(=O)C5C(C4=O)C5(C)C)c(N4C(=O)C5C(C4=O)C5(C)C)c3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(-c7ccnc8cc(N9C(=O)C%10C(C9=O)C%10(C)C)sc78)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(N7C(=O)C8C(C7=O)C8(C)C)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5ccnc6cc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)sc56)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5ccnc6cc(N7C(=O)C8C(C7=O)C8(C)C)sc56)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(N5C(=O)C6C(C5=O)C6(C)C)c4s3)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3-c3ccccc3-c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3-c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3ccnc4cc(-c5cc6nccc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)c6s5)sc34)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3ccnc4cc(-c5cc6nccc(N7C(=O)C8C(C7=O)C8(C)C)c6s5)sc34)C(=O)C21,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],COc1c(O)c(O)c(OC)c(OC)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1-c1c(C)cc(Cl)cc1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1cc(Cl)cc(C)c1[16*],[16*]c1cc(Cl)cc(C)c1[16*],COc1cc(Cl)cc(C)c1OC,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(-c5cc6nccc(OC)c6s5)c4s3)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(-c5ccnc6cc(OC)sc56)c4s3)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3cc4nccc(OC)c4s3)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3ccnc4cc(-c5cc6nccc(OC)c6s5)sc34)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(-c3ccnc4cc(OC)sc34)c2s1,core_plus_one_side_fragment
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,COc1cc2nccc(OC)c2s1,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],COc1ccccc1-c1ccccc1-c1ccccc1OC,core_plus_one_side_fragment
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],COc1ccccc1-c1ccccc1OC,core_plus_one_side_fragment
