feature_set,model,mae,rmse,r2
descriptors,knn_k1,0.751578947368421,1.3031540685259704,-0.286468051816803
morgan_512,knn_k1,0.7789473684210527,1.2414507642270796,-0.16752577535923519
morgan_1024,knn_k1,0.8531578947368421,1.3280951931639777,-0.33618282940963695
desc_plus_morgan_1024,knn_k1,0.8531578947368421,1.3280951931639777,-0.33618282940963695
desc_plus_morgan_512,knn_k1,0.8905263157894737,1.3729031859147012,-0.4278655073106079
desc_plus_morgan_512,knn_k3_dist,0.9256565450605019,1.0870377401691256,0.10484813349031519
morgan_1024,knn_k3_dist,0.9282491396954299,1.1880779309568672,-0.06929450342438326
desc_plus_morgan_1024,knn_k3_dist,0.9558781840929562,1.2042563471849532,-0.09861459648421023
morgan_512,rf_sqrt_leaf1,0.9621526315789477,1.1182623228167796,0.052684022655791196
morgan_512,rf_sqrt_leaf2_depth4,0.9705160607229032,1.1059436330496442,0.07344018191662327
desc_plus_morgan_512,enet_a0.01_l10.2,0.9759609176413235,1.244952072572019,-0.17412069227182636
descriptors,rf_0.3_leaf1,0.9828157894736846,1.1381365357229198,0.018712635077738904
desc_plus_morgan_512,enet_a0.1_l10.5,0.9892287885663394,1.2535094534097693,-0.1903171858531716
desc_plus_similarity,knn_k1,0.994736842105263,1.5082649495014915,-0.7233074047866666
descriptors,knn_k3_dist,0.9990983028184635,1.3052480607355064,-0.29060573357352704
desc_plus_morgan_512,rf_sqrt_leaf2_depth4,1.000412648112122,1.1327035837361152,0.028058723861148605
desc_plus_morgan_512,rf_sqrt_leaf1,1.0022947368421051,1.1438526966261637,0.008831075056805693
morgan_512,knn_k3_dist,1.0127229710053856,1.2209345953272714,-0.12925566073763184
morgan_1024,rf_sqrt_leaf1,1.0152921052631576,1.1647933795200263,-0.027792073300605624
morgan_512,enet_a0.01_l10.2,1.0192072726828754,1.2867591875139788,-0.25430176245548197
desc_plus_morgan_1024,enet_a0.01_l10.2,1.0260064560512387,1.2906592478346353,-0.2619166541632254
morgan_512,rf_0.3_leaf1,1.0274026315789477,1.2008090770831403,-0.09233387284163119
descriptors,rf_sqrt_leaf1,1.0299078947368425,1.1920290769921413,-0.07641855478045478
morgan_1024,rf_sqrt_leaf2_depth4,1.0340008199950628,1.15332320669578,-0.007649603887091683
desc_plus_morgan_1024,rf_sqrt_leaf2_depth4,1.0358466376569333,1.1556971628093866,-0.0118020874984901
desc_plus_morgan_512,rf_0.3_leaf1,1.0466421052631578,1.2039048120922795,-0.09797329578982161
morgan_1024,rf_0.3_leaf1,1.0479921052631582,1.2387552960745039,-0.16246135849657262
morgan_512,enet_a0.1_l10.5,1.059112378015192,1.3362304555041689,-0.3526025720133976
desc_plus_morgan_1024,rf_sqrt_leaf1,1.0678078947368421,1.2134914363868459,-0.1155291121015134
descriptors,rf_sqrt_leaf2_depth4,1.0711191040100245,1.1990574367405382,-0.08914938568399888
desc_plus_morgan_512,enet_a0.01_l10.5,1.0751401042133673,1.3584689337068117,-0.3979991237439564
morgan_1024,enet_a0.01_l10.2,1.0760589527021842,1.3346139908240486,-0.34933201072918285
desc_plus_similarity,rf_sqrt_leaf1,1.083421052631579,1.2242726996702549,-0.13543899988332542
desc_plus_similarity,rf_0.3_leaf1,1.083421052631579,1.2242726996702549,-0.13543899988332542
desc_plus_morgan_1024,rf_0.3_leaf1,1.083784210526316,1.2422407498252164,-0.16901213636871093
desc_plus_morgan_1024,enet_a0.1_l10.5,1.0862019536380316,1.3847291010619376,-0.452570150781207
descriptors,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
similarity,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
morgan_512,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
morgan_1024,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
desc_plus_similarity,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
desc_plus_morgan_512,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
desc_plus_morgan_1024,mean,1.1242105263157895,1.2127669618289014,-0.11419753086419804
morgan_512,enet_a0.01_l10.5,1.1277246118713582,1.445038510356197,-0.581853716924938
