canonical_smiles,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,heavy_atom_count,fraction_csp3,max_tanimoto_to_other,mean_tanimoto_to_others
O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,437.90500000000014,2.1177,116.66999999999999,2.0,5.0,6.0,3.0,29.0,0.3157894736842105,0.23076923076923078,0.14219542688566333
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,300.377,3.5117400000000023,25.240000000000002,0.0,2.0,4.0,3.0,22.0,0.3888888888888889,0.975,0.19836236111572225
O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,562.5740000000002,6.139200000000007,133.52,4.0,8.0,8.0,5.0,42.0,0.058823529411764705,0.3684210526315789,0.14462652339143164
CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,384.27700000000004,4.408680000000003,65.78,1.0,3.0,6.0,2.0,24.0,0.21052631578947367,0.19480519480519481,0.1344877569812272
Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,337.42300000000006,2.605220000000001,69.26,1.0,4.0,4.0,3.0,25.0,0.4,0.5849056603773585,0.1795834187223247
Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,314.404,3.9018400000000035,25.240000000000002,0.0,2.0,4.0,3.0,23.0,0.42105263157894735,0.975,0.19708730048960726
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,524.0860000000004,5.442920000000005,71.53,1.0,6.0,5.0,6.0,36.0,0.4642857142857143,0.15714285714285714,0.11529400236628673
COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,429.8600000000001,2.3921,110.52000000000001,2.0,5.0,8.0,3.0,30.0,0.23809523809523808,0.2247191011235955,0.1512433223101109
O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,399.3210000000003,5.392900000000004,41.99,1.0,2.0,4.0,4.0,27.0,0.2727272727272727,0.23076923076923078,0.1378517118162315
CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,469.16200000000003,5.283000000000003,57.61,1.0,3.0,5.0,3.0,27.0,0.2,0.2,0.13913832728796532
CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,484.41100000000006,5.128580000000002,99.91999999999999,1.0,7.0,5.0,3.0,29.0,0.05555555555555555,0.2,0.12122557798371154
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,383.53300000000013,1.9420000000000004,104.37,3.0,4.0,13.0,0.0,27.0,0.8,0.4107142857142857,0.11650347348897158
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,396.48700000000014,3.2539000000000016,84.50000000000001,2.0,4.0,10.0,2.0,29.0,0.34782608695652173,0.4393939393939394,0.16818419680838628
COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,505.5270000000002,2.5371000000000006,132.05999999999997,3.0,7.0,10.0,3.0,37.0,0.18518518518518517,0.4393939393939394,0.1514458974471367
Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,322.36000000000007,4.459840000000004,80.92,4.0,4.0,2.0,3.0,24.0,0.1,0.3684210526315789,0.11426878507394858
Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,728.916,6.327140000000006,170.85999999999999,6.0,9.0,17.0,6.0,52.0,0.4358974358974359,0.7682926829268293,0.1945233653215505
O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,500.66900000000015,3.259500000000001,110.17000000000002,3.0,6.0,15.0,4.0,35.0,0.6,0.7682926829268293,0.18894645654832606
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,851.4749999999997,4.755500000000003,183.34,6.0,13.0,24.0,6.0,59.0,0.4878048780487805,0.41964285714285715,0.15378489316191227
CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1,507.5820000000003,4.982780000000004,107.77000000000001,2.0,6.0,8.0,3.0,35.0,0.5416666666666666,0.2235294117647059,0.13901331830847116
