,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,CS(=O)(=O)c1ccc(NC(=O)c2cc(C#N)c(Sc3c(Cl)cncc3Cl)s2)cc1,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,COc1ccc(C(=O)ONC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,Cc1c(C)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,Cc1c(C)c(-c2ccc(OCc3cn(CCCCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)nn3)cc2)c(O)c(O)c1-c1ccc(O)cc1,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCn1cc(COc2ccccc2)nn1,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(CCOCCOCCOCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)CC3)cc2)ncc1Cl,CC(C)C[C@H](NC(=O)C1(C(F)(F)F)CCCCC1)C(=O)Nc1nnc(Cc2ccc(C#N)cc2)s1
O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,1.0,0.12658227848101267,0.10666666666666667,0.1511627906976744,0.14457831325301204,0.125,0.14285714285714285,0.20224719101123595,0.23076923076923078,0.2,0.2,0.075,0.10714285714285714,0.12087912087912088,0.06153846153846154,0.13274336283185842,0.15841584158415842,0.16393442622950818,0.11
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,0.12658227848101267,1.0,0.1076923076923077,0.1,0.5849056603773585,0.975,0.12371134020618557,0.14285714285714285,0.13333333333333333,0.13333333333333333,0.0963855421686747,0.08695652173913043,0.10810810810810811,0.0963855421686747,0.16,0.17,0.13978494623655913,0.14912280701754385,0.13636363636363635
O=C(Cc1ccccc1)Oc1c(OC(=O)Cc2ccccc2)c(-c2ccc(O)cc2)c(O)c(O)c1-c1ccc(O)cc1,0.10666666666666667,0.1076923076923077,1.0,0.1388888888888889,0.09859154929577464,0.10606060606060606,0.09574468085106383,0.16883116883116883,0.14492753623188406,0.14492753623188406,0.0759493670886076,0.078125,0.22580645161290322,0.19718309859154928,0.3684210526315789,0.20652173913043478,0.14942528735632185,0.09649122807017543,0.09302325581395349
CCC[C@H](NC(=O)/C(C#N)=C/c1cccc(Br)n1)c1ccccc1,0.1511627906976744,0.1,0.1388888888888889,1.0,0.13253012048192772,0.09876543209876543,0.08181818181818182,0.17777777777777778,0.13095238095238096,0.13095238095238096,0.14772727272727273,0.18055555555555555,0.19480519480519481,0.1744186046511628,0.07936507936507936,0.10434782608695652,0.13725490196078433,0.1015625,0.15789473684210525
Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,0.14457831325301204,0.5849056603773585,0.09859154929577464,0.13253012048192772,1.0,0.5740740740740741,0.12745098039215685,0.10869565217391304,0.10975609756097561,0.1375,0.1411764705882353,0.08,0.1,0.0898876404494382,0.14285714285714285,0.17142857142857143,0.14285714285714285,0.14166666666666666,0.20454545454545456
Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,0.125,0.975,0.10606060606060606,0.09876543209876543,0.5740740740740741,1.0,0.12244897959183673,0.1411764705882353,0.13157894736842105,0.13157894736842105,0.09523809523809523,0.08571428571428572,0.10666666666666667,0.09523809523809523,0.1568627450980392,0.16831683168316833,0.13829787234042554,0.14782608695652175,0.14772727272727273
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.14285714285714285,0.12371134020618557,0.09574468085106383,0.08181818181818182,0.12745098039215685,0.12244897959183673,1.0,0.13392857142857142,0.1485148514851485,0.13725490196078433,0.10909090909090909,0.04950495049504951,0.0761904761904762,0.07017543859649122,0.07228915662650602,0.15625,0.15126050420168066,0.15714285714285714,0.11965811965811966
COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,0.20224719101123595,0.14285714285714285,0.16883116883116883,0.17777777777777778,0.10869565217391304,0.1411764705882353,0.13392857142857142,1.0,0.1839080459770115,0.1839080459770115,0.12371134020618557,0.09411764705882353,0.17647058823529413,0.2247191011235955,0.07042253521126761,0.13445378151260504,0.16981132075471697,0.18253968253968253,0.102803738317757
O=C(NCCc1ccc(Cl)cc1)c1ccc2nc3c(c(Cl)c2c1)CCCC3,0.23076923076923078,0.13333333333333333,0.14492753623188406,0.13095238095238096,0.10975609756097561,0.13157894736842105,0.1485148514851485,0.1839080459770115,1.0,0.1794871794871795,0.15294117647058825,0.07894736842105263,0.12658227848101267,0.16666666666666666,0.06557377049180328,0.10714285714285714,0.13,0.12195121951219512,0.13829787234042554
CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,0.2,0.13333333333333333,0.14492753623188406,0.13095238095238096,0.1375,0.13157894736842105,0.13725490196078433,0.1839080459770115,0.1794871794871795,1.0,0.15294117647058825,0.09333333333333334,0.1125,0.10112359550561797,0.1206896551724138,0.14814814814814814,0.13,0.14049586776859505,0.12631578947368421
